temperature_c,humidity_pct,wind_speed_kmh,rainfall_mm,tree_age_years,soil_type,growth_stage,water_need_liters
15.2,56.8,0.4,0.4,3,Clay,Flowering,0.0
34.5,50.6,7.9,3.2,10,Loam,Fruiting,6.1
23.8,37.8,2.0,1.6,28,Loam,Vegetative,4.3
24.3,37.3,6.9,0.0,9,Sandy,Vegetative,4.8
20.5,60.0,45.0,1.0,26,Loam,Vegetative,6.6
23.4,72.9,24.0,0.0,16,Loam,Fruiting,2.1
31.0,52.7,2.2,0.5,20,Loam,Flowering,4.5
26.7,56.3,2.9,5.2,21,Loam,Vegetative,3.1
30.3,65.3,9.5,1.2,16,Loam,Flowering,7.3
30.5,37.5,0.0,4.0,1,Sandy,Flowering,1.1
37.2,68.3,6.9,4.4,27,Clay,Fruiting,7.0
25.6,69.7,2.5,0.1,14,Sandy,Fruiting,3.1
17.7,98.0,7.9,8.3,20,Sandy,Fruiting,1.6
35.5,48.2,9.1,1.5,17,Sandy,Fruiting,12.5
25.7,46.8,8.7,4.7,20,Clay,Vegetative,0.0
35.8,68.8,0.4,1.5,11,Clay,Vegetative,8.5
30.7,69.7,1.1,1.3,25,Sandy,Flowering,6.7
27.1,45.4,16.4,4.3,7,Sandy,Fruiting,0.0
30.4,47.7,1.2,7.9,19,Loam,Vegetative,0.8
41.7,64.7,5.1,2.4,17,Sandy,Fruiting,9.2
42.5,40.1,14.6,0.1,15,Loam,Vegetative,10.5
28.5,47.6,0.2,2.0,1,Sandy,Vegetative,1.1
29.1,56.6,1.7,1.0,12,Loam,Vegetative,2.4
35.5,72.9,8.6,2.3,2,Loam,Fruiting,4.7
22.1,44.1,1.1,1.6,15,Loam,Fruiting,6.1
30.3,21.8,6.4,0.8,20,Loam,Flowering,5.1
27.8,20.5,14.3,0.1,16,Sandy,Fruiting,9.7
30.2,32.3,7.1,0.1,22,Sandy,Fruiting,11.1
22.2,31.4,15.7,3.6,11,Sandy,Vegetative,1.3
16.9,52.2,2.9,1.3,9,Sandy,Fruiting,2.9
13.5,33.6,10.2,8.0,13,Clay,Vegetative,0.1
20.2,42.4,15.1,9.7,7,Sandy,Flowering,0.0
24.8,41.1,2.6,3.9,24,Loam,Vegetative,0.0
25.9,47.1,15.0,2.6,24,Sandy,Flowering,5.9
41.6,78.8,0.8,0.9,13,Loam,Flowering,3.2
35.7,66.9,6.8,1.7,23,Clay,Vegetative,1.6
21.3,55.3,1.3,2.4,1,Loam,Flowering,0.0
30.4,46.7,9.8,6.4,5,Loam,Fruiting,0.0
25.2,47.2,6.2,3.0,9,Clay,Flowering,2.7
26.0,60.9,9.0,0.9,12,Loam,Vegetative,3.0
29.3,65.5,13.5,1.5,7,Clay,Vegetative,1.8
32.3,38.7,5.5,9.8,15,Loam,Vegetative,0.0
25.6,55.7,2.1,0.7,24,Sandy,Fruiting,5.6
35.4,18.4,15.5,4.1,14,Loam,Fruiting,8.4
20.0,58.8,22.1,0.5,14,Sandy,Vegetative,3.9
28.0,68.7,15.7,0.6,2,Sandy,Fruiting,4.7
46.2,50.0,1.2,6.8,9,Clay,Flowering,4.3
29.6,87.7,12.6,1.8,24,Sandy,Fruiting,6.6
38.0,39.1,8.2,2.0,24,Loam,Vegetative,1.7
28.6,58.9,4.4,1.2,4,Clay,Flowering,0.8
32.1,54.4,1.0,1.4,1,Loam,Flowering,0.2
27.6,53.2,9.5,1.8,25,Loam,Vegetative,1.8
26.8,52.9,8.6,0.8,6,Loam,Vegetative,0.9
22.5,56.9,2.2,0.6,17,Clay,Vegetative,2.6
31.0,70.3,3.9,4.6,24,Sandy,Flowering,8.7
22.0,79.8,1.4,1.2,23,Sandy,Fruiting,4.0
32.7,55.0,21.3,1.9,16,Loam,Fruiting,8.0
35.6,69.7,5.2,9.5,11,Clay,Vegetative,0.0
30.6,42.4,7.5,0.1,23,Sandy,Fruiting,12.4
26.0,68.8,6.8,0.9,21,Loam,Vegetative,5.1
31.2,41.3,12.4,2.2,25,Clay,Fruiting,7.4
25.8,74.6,8.4,6.1,15,Sandy,Vegetative,2.7
34.5,94.8,2.4,4.7,28,Sandy,Fruiting,4.4
15.2,52.8,5.0,6.4,23,Loam,Fruiting,0.0
25.7,15.5,3.0,1.0,2,Sandy,Fruiting,6.1
14.1,45.1,4.7,2.4,9,Sandy,Fruiting,3.5
17.5,77.2,8.8,7.8,24,Loam,Vegetative,0.0
37.5,65.0,5.3,5.5,4,Loam,Fruiting,2.5
34.3,59.5,7.4,2.1,21,Loam,Flowering,4.7
23.0,73.2,1.5,0.3,10,Loam,Flowering,5.7
17.5,63.7,5.5,2.6,7,Loam,Fruiting,2.4
7.2,76.9,9.2,0.1,16,Loam,Vegetative,0.0
24.2,71.5,8.2,5.0,28,Clay,Flowering,0.8
44.9,82.4,4.1,8.1,27,Loam,Fruiting,4.7
31.0,61.5,1.9,4.1,12,Loam,Vegetative,2.1
24.1,71.3,23.3,0.9,1,Clay,Vegetative,1.2
31.3,49.5,7.4,2.0,26,Clay,Vegetative,6.0
17.1,44.2,5.4,2.2,27,Sandy,Fruiting,4.6
25.9,85.7,1.4,1.3,18,Clay,Fruiting,3.8
28.7,58.9,10.6,6.2,19,Clay,Vegetative,2.3
27.4,69.5,6.9,1.3,16,Loam,Flowering,9.1
33.5,57.2,2.1,5.8,1,Sandy,Flowering,1.8
30.4,44.4,0.1,2.4,5,Loam,Fruiting,4.0
32.7,55.2,5.9,0.4,5,Loam,Fruiting,6.6
23.2,80.8,1.6,6.5,27,Loam,Fruiting,0.5
34.3,65.0,4.1,2.1,2,Loam,Vegetative,0.5
39.4,24.2,9.3,0.3,17,Sandy,Vegetative,13.2
21.2,51.1,9.1,6.5,11,Sandy,Flowering,0.0
21.8,87.1,0.6,4.5,1,Clay,Flowering,2.3
37.4,51.2,3.3,1.0,27,Sandy,Flowering,8.8
26.7,22.6,17.5,1.6,1,Loam,Vegetative,0.0
37.8,89.1,2.4,7.5,25,Sandy,Vegetative,0.2
24.9,67.3,3.6,1.3,23,Loam,Fruiting,3.9
38.2,53.7,4.2,2.6,24,Loam,Vegetative,5.5
28.9,48.3,0.0,4.8,5,Sandy,Flowering,1.6
29.8,74.5,10.2,1.3,26,Loam,Fruiting,4.3
39.0,45.2,0.5,5.9,18,Loam,Vegetative,4.7
25.5,75.7,2.5,3.6,12,Sandy,Vegetative,3.6
21.4,64.8,1.9,2.4,20,Loam,Vegetative,4.5
24.9,59.4,6.7,2.1,10,Loam,Flowering,3.7
31.2,57.6,3.4,5.6,9,Loam,Vegetative,0.0
17.0,51.9,9.6,4.1,9,Loam,Flowering,1.7
32.5,73.8,11.7,1.9,17,Loam,Vegetative,2.6
24.2,39.4,1.2,1.3,18,Sandy,Vegetative,4.1
36.0,25.8,1.6,1.4,7,Sandy,Vegetative,4.9
11.2,66.1,7.3,3.0,8,Loam,Vegetative,0.0
22.5,66.4,12.6,0.1,28,Loam,Vegetative,4.0
16.2,63.6,24.4,0.5,15,Clay,Fruiting,2.7
22.2,62.3,1.9,8.2,25,Sandy,Vegetative,0.0
29.7,49.2,14.4,4.6,10,Loam,Flowering,3.6
26.7,69.2,1.2,4.2,9,Loam,Flowering,3.9
26.2,54.2,4.1,2.3,9,Sandy,Fruiting,3.5
26.9,46.2,12.9,1.0,16,Loam,Flowering,4.9
29.4,49.4,2.1,2.7,23,Loam,Vegetative,1.1
20.9,91.4,1.4,0.1,15,Sandy,Flowering,2.7
32.9,23.8,0.3,2.1,9,Loam,Vegetative,2.3
32.6,64.0,7.3,0.0,28,Sandy,Fruiting,9.5
30.7,24.8,6.6,1.4,17,Clay,Vegetative,4.8
31.9,53.1,29.4,12.7,12,Sandy,Fruiting,2.1
30.1,47.2,5.2,1.2,1,Sandy,Flowering,0.0
42.2,17.5,1.6,3.5,17,Sandy,Fruiting,14.2
27.4,62.0,3.7,1.5,19,Sandy,Vegetative,5.8
25.9,48.2,0.5,0.1,27,Sandy,Fruiting,5.8
22.7,17.2,8.6,0.0,7,Loam,Fruiting,8.0
20.8,70.1,10.2,0.5,5,Sandy,Flowering,4.1
19.3,80.8,2.0,0.8,29,Sandy,Vegetative,2.5
21.8,81.8,2.4,1.5,16,Sandy,Vegetative,3.3
27.5,61.5,0.6,0.8,1,Loam,Vegetative,0.2
30.3,55.8,0.6,2.3,4,Sandy,Fruiting,4.9
28.4,78.9,4.4,4.5,14,Loam,Flowering,2.2
22.6,85.3,6.0,0.1,18,Loam,Fruiting,4.4
34.3,75.4,0.1,0.4,8,Loam,Fruiting,2.4
33.2,38.1,8.6,8.6,11,Sandy,Fruiting,4.6
26.9,58.6,2.7,3.9,22,Clay,Fruiting,1.7
23.4,62.9,6.6,0.5,29,Loam,Flowering,6.1
31.8,22.4,6.1,0.2,15,Sandy,Flowering,9.9
29.3,63.4,12.3,5.8,13,Loam,Vegetative,0.0
17.9,95.9,15.7,7.1,11,Loam,Fruiting,2.0
27.5,66.5,15.2,2.2,4,Loam,Fruiting,3.3
29.8,81.5,3.2,2.3,2,Loam,Flowering,0.7
21.7,58.3,7.6,0.3,25,Loam,Fruiting,5.1
29.3,53.7,1.3,2.0,2,Sandy,Fruiting,5.2
17.8,61.9,4.9,2.4,24,Clay,Flowering,0.0
37.4,40.3,2.9,8.3,8,Sandy,Fruiting,3.1
36.7,37.7,3.1,0.6,21,Sandy,Flowering,7.1
26.2,77.8,11.8,1.3,28,Sandy,Vegetative,5.5
30.5,79.7,18.5,1.9,22,Loam,Vegetative,2.5
11.1,37.2,3.2,0.6,22,Clay,Flowering,1.0
19.9,72.4,13.2,4.6,8,Clay,Fruiting,0.0
25.9,53.4,4.5,1.0,18,Clay,Vegetative,2.9
20.5,61.1,2.5,1.0,19,Loam,Fruiting,1.6
33.0,63.3,3.9,4.7,13,Loam,Fruiting,0.0
42.0,72.9,2.8,0.3,2,Loam,Fruiting,4.7
19.8,56.5,1.2,2.3,27,Sandy,Vegetative,0.0
22.1,80.4,0.4,1.1,6,Clay,Flowering,3.6
29.6,60.6,0.2,1.5,29,Loam,Vegetative,6.5
39.3,66.2,10.0,2.0,28,Loam,Vegetative,4.8
19.4,40.0,6.5,3.9,1,Loam,Vegetative,2.6
29.7,93.9,3.4,2.8,22,Loam,Vegetative,1.9
40.7,63.5,5.0,3.1,19,Sandy,Vegetative,8.7
16.4,67.8,34.1,2.6,7,Loam,Flowering,0.7
19.0,26.1,4.4,2.0,24,Loam,Flowering,0.0
25.0,40.2,1.9,5.9,4,Clay,Vegetative,0.0
24.4,77.3,9.5,0.2,8,Sandy,Fruiting,9.4
33.7,60.2,1.0,3.3,28,Sandy,Flowering,6.8
29.7,20.6,7.0,2.0,22,Loam,Fruiting,5.9
15.6,73.7,4.3,0.6,4,Clay,Flowering,1.9
31.6,45.2,6.2,8.1,5,Clay,Vegetative,1.9
24.0,80.4,2.6,5.8,8,Loam,Fruiting,0.0
36.9,53.4,3.9,5.9,3,Sandy,Fruiting,6.6
23.6,58.7,11.1,1.2,6,Sandy,Flowering,2.9
23.5,76.2,0.7,2.6,17,Loam,Flowering,4.3
31.8,38.8,12.5,3.6,1,Sandy,Flowering,1.5
33.3,37.1,14.2,2.4,9,Loam,Flowering,4.2
31.1,51.5,3.8,3.0,10,Clay,Fruiting,3.0
16.2,69.9,9.9,3.0,29,Loam,Flowering,3.2
31.8,31.0,7.7,1.7,29,Loam,Vegetative,4.8
20.8,25.0,5.8,1.3,25,Sandy,Vegetative,4.2
29.6,69.8,11.0,1.3,10,Sandy,Vegetative,1.1
18.0,44.1,3.4,0.5,16,Loam,Vegetative,3.9
31.1,47.9,14.6,5.2,15,Loam,Vegetative,2.0
22.4,21.6,19.4,8.6,25,Sandy,Fruiting,1.6
19.0,42.8,7.6,2.1,22,Sandy,Vegetative,3.1
33.0,54.9,1.7,2.3,27,Sandy,Vegetative,3.7
29.7,71.7,0.4,15.0,16,Loam,Vegetative,0.0
23.7,41.1,4.0,5.7,27,Loam,Flowering,0.3
38.2,84.8,0.5,4.4,22,Loam,Flowering,2.8
24.9,42.7,3.7,0.8,22,Loam,Flowering,9.2
28.2,42.7,19.5,4.6,20,Sandy,Fruiting,8.3
29.9,82.7,11.3,0.3,10,Loam,Fruiting,4.5
23.7,58.8,0.6,0.7,18,Sandy,Fruiting,10.2
31.3,45.1,1.8,2.4,11,Clay,Fruiting,3.6
24.3,52.2,8.8,1.2,19,Sandy,Vegetative,4.1
25.1,79.4,24.4,1.6,8,Loam,Flowering,5.6
37.5,81.4,10.4,1.4,24,Sandy,Vegetative,2.3
20.7,40.3,1.2,3.4,17,Loam,Fruiting,2.0
11.1,54.2,4.0,1.4,21,Sandy,Vegetative,0.1
39.3,56.6,12.5,1.7,7,Clay,Vegetative,4.0
45.8,37.2,6.7,6.8,23,Sandy,Vegetative,5.6
25.2,54.0,3.6,5.9,24,Clay,Flowering,0.0
14.4,55.1,45.0,0.2,5,Loam,Fruiting,3.4
25.8,75.5,10.0,0.9,11,Sandy,Vegetative,6.1
26.0,76.7,5.1,6.3,20,Sandy,Flowering,1.7
26.7,49.1,9.0,0.1,26,Loam,Vegetative,4.6
20.2,51.1,2.1,0.7,22,Clay,Fruiting,4.0
32.1,67.0,14.6,2.9,14,Clay,Vegetative,6.0
31.7,44.5,5.8,2.7,9,Sandy,Vegetative,4.1
17.5,65.6,9.4,1.9,27,Loam,Flowering,1.3
32.9,53.4,41.8,1.7,26,Sandy,Flowering,6.5
42.4,37.6,5.5,3.5,27,Sandy,Fruiting,8.6
29.2,37.8,5.1,3.9,9,Loam,Flowering,1.9
25.6,81.0,6.1,5.0,13,Loam,Fruiting,1.6
27.0,52.2,3.4,2.1,8,Sandy,Vegetative,1.8
32.3,84.5,6.8,0.5,28,Clay,Vegetative,4.5
15.9,45.8,0.6,2.7,26,Loam,Fruiting,0.8
29.2,60.2,15.5,4.1,6,Loam,Vegetative,0.0
25.3,98.0,35.8,10.5,8,Sandy,Fruiting,1.2
40.9,36.0,5.4,2.1,17,Clay,Vegetative,7.3
26.8,20.8,0.1,1.3,13,Loam,Flowering,2.7
39.7,78.2,2.7,6.7,14,Loam,Vegetative,1.0
20.3,40.1,0.1,0.1,11,Sandy,Flowering,1.0
32.1,54.6,1.3,1.4,20,Clay,Fruiting,2.6
30.2,44.5,18.9,2.8,27,Loam,Vegetative,2.4
21.9,59.8,4.0,1.0,27,Clay,Vegetative,4.4
29.2,37.9,5.4,6.0,14,Loam,Vegetative,0.0
36.5,51.8,6.5,2.9,25,Loam,Vegetative,2.4
25.7,63.1,1.9,11.3,21,Loam,Vegetative,0.1
16.2,36.9,15.2,1.8,6,Clay,Fruiting,1.9
27.9,42.4,7.9,0.7,24,Sandy,Vegetative,3.8
21.7,48.7,8.3,6.2,11,Sandy,Flowering,4.5
25.6,29.3,6.0,2.0,19,Loam,Flowering,3.9
27.4,47.4,9.8,4.7,21,Loam,Vegetative,1.3
16.1,57.1,4.3,2.1,28,Loam,Vegetative,0.2
16.7,47.8,12.0,0.4,28,Loam,Fruiting,5.3
31.4,50.1,6.6,0.4,24,Loam,Flowering,9.2
24.3,54.6,0.4,1.2,15,Loam,Fruiting,8.1
10.0,43.2,0.7,0.4,12,Loam,Flowering,0.5
33.5,67.4,3.8,0.2,13,Clay,Flowering,7.7
29.9,80.8,0.3,9.0,28,Sandy,Fruiting,1.9
23.0,46.6,0.6,0.8,6,Loam,Fruiting,5.8
18.8,63.7,3.7,2.4,16,Clay,Fruiting,1.7
33.9,50.7,2.8,0.1,20,Sandy,Vegetative,6.2
30.4,61.6,8.2,1.6,1,Loam,Fruiting,2.3
44.7,83.2,2.3,0.8,19,Loam,Fruiting,11.7
30.9,64.2,2.5,1.7,8,Loam,Fruiting,8.3
30.7,23.1,3.7,6.1,9,Loam,Fruiting,3.2
26.8,63.2,0.3,1.2,19,Sandy,Fruiting,6.3
33.7,77.2,8.2,3.5,1,Clay,Flowering,0.0
32.4,51.0,10.6,1.0,5,Sandy,Fruiting,3.6
36.8,72.9,28.2,3.7,14,Loam,Fruiting,6.9
24.4,42.6,12.1,0.5,17,Loam,Fruiting,4.2
25.0,28.3,3.0,3.6,4,Sandy,Fruiting,3.9
24.6,57.5,11.8,4.0,11,Sandy,Vegetative,0.0
33.5,23.4,40.3,0.1,9,Clay,Vegetative,5.2
38.5,50.7,1.9,0.1,16,Loam,Vegetative,5.3
24.8,78.2,25.3,3.0,9,Sandy,Fruiting,7.4
25.0,20.6,3.5,1.2,1,Loam,Fruiting,0.0
30.2,32.0,0.5,6.0,16,Loam,Fruiting,3.9
26.3,36.4,0.5,14.6,25,Sandy,Fruiting,0.4
34.7,53.9,1.7,2.3,17,Loam,Flowering,7.2
12.2,48.4,8.9,2.8,11,Loam,Vegetative,1.7
22.2,80.2,10.0,1.0,14,Sandy,Flowering,4.5
22.5,72.2,9.3,10.3,5,Clay,Fruiting,0.0
11.8,63.9,4.0,2.9,7,Sandy,Flowering,0.0
21.3,57.6,6.5,2.1,13,Sandy,Fruiting,4.6
21.6,62.1,9.8,1.9,18,Sandy,Fruiting,5.7
26.6,39.5,6.1,0.3,15,Loam,Vegetative,2.9
35.8,70.4,4.8,3.4,28,Loam,Fruiting,8.3
26.3,35.0,2.2,0.6,19,Clay,Flowering,4.5
20.8,70.0,3.9,0.6,1,Sandy,Flowering,0.0
27.6,76.4,11.7,3.5,16,Loam,Vegetative,0.7
35.3,58.8,6.3,0.2,17,Loam,Vegetative,9.5
21.2,51.8,1.8,2.2,2,Loam,Vegetative,1.3
21.6,62.2,2.1,2.7,12,Sandy,Flowering,5.0
31.9,10.0,12.5,0.3,26,Clay,Vegetative,3.3
26.4,60.4,18.9,0.9,11,Sandy,Flowering,5.0
32.5,53.0,2.9,4.4,14,Loam,Flowering,1.9
27.9,54.1,4.0,2.5,7,Loam,Flowering,3.3
32.9,67.7,0.0,1.4,3,Sandy,Fruiting,3.4
20.8,53.7,0.9,0.7,10,Clay,Flowering,1.8
27.9,34.5,9.6,2.6,23,Clay,Vegetative,1.5
26.5,52.5,32.1,1.2,29,Loam,Fruiting,6.0
19.5,56.2,7.4,1.8,20,Loam,Fruiting,3.2
17.1,57.1,6.4,3.2,25,Loam,Fruiting,4.1
32.8,57.9,12.0,5.8,19,Loam,Fruiting,1.2
25.5,73.7,2.7,11.8,20,Sandy,Vegetative,0.7
20.8,35.5,6.3,4.2,13,Loam,Fruiting,4.9
27.3,58.2,3.9,3.3,2,Loam,Vegetative,0.0
35.9,78.2,3.8,11.5,12,Loam,Flowering,0.0
12.0,23.8,1.6,1.0,26,Loam,Vegetative,3.3
17.5,58.2,4.7,2.2,16,Sandy,Fruiting,1.6
21.5,44.5,5.8,1.9,23,Clay,Vegetative,1.6
38.2,48.3,15.4,3.1,2,Sandy,Vegetative,0.0
30.0,38.7,24.4,3.4,6,Sandy,Vegetative,0.0
33.4,51.9,0.7,9.4,9,Loam,Fruiting,0.0
20.0,88.1,1.0,0.6,11,Loam,Vegetative,0.0
20.2,32.2,14.2,2.4,29,Sandy,Flowering,4.2
31.1,33.9,6.6,1.4,14,Loam,Vegetative,6.6
28.4,31.6,11.3,0.6,20,Loam,Fruiting,11.4
31.8,86.1,0.8,0.5,19,Sandy,Vegetative,5.2
26.7,46.7,1.4,1.1,13,Clay,Fruiting,6.6
29.9,54.5,6.6,1.3,29,Loam,Vegetative,4.8
29.1,47.7,4.6,6.9,7,Loam,Vegetative,0.0
33.4,38.0,4.9,1.4,2,Sandy,Vegetative,0.0
33.6,50.8,18.1,2.6,22,Loam,Vegetative,7.6
16.7,98.0,10.9,3.2,19,Clay,Flowering,0.0
12.3,80.1,3.9,2.8,8,Sandy,Vegetative,2.8
35.0,39.6,18.1,1.6,26,Sandy,Fruiting,12.6
36.3,66.7,4.7,7.1,5,Sandy,Flowering,0.0
20.9,40.0,11.0,6.4,8,Sandy,Vegetative,0.6
15.0,23.0,10.7,2.4,5,Clay,Flowering,4.7
28.7,73.4,3.6,0.3,6,Loam,Vegetative,6.3
34.5,75.9,8.6,1.7,22,Loam,Vegetative,3.1
40.6,73.8,19.9,1.2,21,Clay,Vegetative,3.9
31.6,46.5,17.9,2.2,19,Clay,Vegetative,3.6
25.4,52.0,7.3,1.8,25,Clay,Vegetative,1.9
21.7,68.5,2.1,2.3,3,Loam,Fruiting,3.3
28.1,62.0,2.5,3.1,18,Loam,Fruiting,5.7
25.9,47.9,12.4,3.3,4,Sandy,Fruiting,0.0
20.9,25.9,6.0,3.2,28,Loam,Vegetative,2.2
42.3,57.0,6.1,4.0,19,Loam,Fruiting,7.6
40.5,74.4,0.4,4.8,23,Sandy,Vegetative,3.6
36.0,33.4,2.4,1.7,17,Loam,Vegetative,5.4
21.6,66.5,8.9,8.1,12,Loam,Fruiting,2.4
34.0,61.0,2.3,9.7,20,Loam,Vegetative,2.0
32.5,68.5,1.3,1.0,25,Sandy,Flowering,5.5
31.1,70.7,3.2,6.9,6,Loam,Fruiting,0.1
36.7,42.5,9.4,3.2,26,Loam,Flowering,5.3
32.4,25.9,9.6,2.8,22,Loam,Flowering,2.5
33.2,45.4,6.4,0.6,3,Loam,Vegetative,2.4
32.5,71.0,5.1,2.7,28,Sandy,Vegetative,7.7
30.4,45.2,16.4,1.7,6,Sandy,Fruiting,3.5
15.5,42.5,14.9,16.0,18,Loam,Vegetative,0.0
28.6,22.2,4.3,5.1,4,Sandy,Vegetative,0.0
24.1,86.5,17.3,2.4,6,Loam,Vegetative,1.8
19.0,69.9,19.1,5.1,19,Clay,Fruiting,0.0
39.8,68.9,8.6,1.9,20,Sandy,Fruiting,7.9
40.1,72.4,4.2,0.3,20,Loam,Flowering,5.3
37.5,65.4,6.1,7.2,10,Loam,Fruiting,5.6
29.8,50.6,2.4,2.7,24,Loam,Vegetative,0.7
37.5,52.1,14.4,1.2,2,Sandy,Fruiting,3.1
28.1,47.3,5.1,3.7,25,Sandy,Vegetative,7.0
29.4,98.0,11.8,6.3,9,Clay,Vegetative,0.0
20.3,65.0,11.8,4.6,18,Sandy,Vegetative,1.1
30.8,46.7,0.5,1.6,27,Loam,Fruiting,8.5
28.4,63.4,15.9,0.3,8,Loam,Fruiting,8.5
18.9,36.8,1.6,6.2,12,Sandy,Flowering,0.0
27.6,82.1,2.6,2.1,25,Loam,Vegetative,1.0
27.4,43.1,6.5,0.1,26,Sandy,Vegetative,6.2
40.6,64.0,6.8,0.6,7,Sandy,Flowering,12.3
34.3,74.2,3.8,0.2,15,Loam,Vegetative,3.5
28.1,61.9,3.8,3.5,10,Clay,Vegetative,0.0
29.7,56.7,11.1,6.7,15,Sandy,Fruiting,4.8
28.3,55.2,5.9,4.0,11,Sandy,Flowering,5.0
26.6,54.0,9.7,0.7,1,Clay,Fruiting,2.1
20.4,44.6,16.7,8.0,27,Sandy,Flowering,0.0
26.9,46.9,4.9,0.6,19,Clay,Vegetative,2.3
22.8,81.6,5.2,5.8,14,Loam,Flowering,0.4
19.2,53.0,3.9,2.6,4,Loam,Vegetative,2.5
31.6,40.9,2.8,0.0,3,Loam,Flowering,3.2
30.7,45.7,14.9,0.7,14,Loam,Fruiting,8.0
15.5,74.8,1.1,0.3,19,Sandy,Vegetative,0.5
27.1,67.2,10.1,2.6,8,Clay,Vegetative,4.9
35.0,65.1,4.3,4.4,22,Clay,Fruiting,4.1
35.4,50.4,4.8,3.4,12,Clay,Flowering,5.8
35.2,65.3,21.7,6.3,1,Loam,Flowering,0.1
28.3,43.4,3.6,3.2,16,Loam,Fruiting,4.8
22.1,50.3,4.1,0.6,6,Loam,Flowering,0.3
20.4,72.5,2.2,3.9,1,Sandy,Vegetative,0.0
30.4,70.7,4.5,2.8,4,Loam,Fruiting,4.9
30.7,37.3,1.8,1.9,9,Loam,Fruiting,5.8
37.0,39.6,6.8,5.9,15,Loam,Vegetative,2.2
35.7,57.0,3.4,13.4,29,Loam,Vegetative,0.0
27.1,86.1,4.8,1.5,7,Loam,Fruiting,2.1
19.3,20.5,19.8,2.2,2,Loam,Flowering,2.5
25.8,60.0,35.1,3.1,6,Loam,Vegetative,5.2
29.5,30.2,1.6,4.1,10,Clay,Flowering,0.7
26.6,43.6,16.4,3.9,6,Loam,Fruiting,4.2
24.0,48.4,0.3,0.3,10,Sandy,Flowering,5.7
29.8,47.4,6.4,0.0,29,Sandy,Vegetative,5.9
24.5,45.4,24.7,3.0,12,Loam,Vegetative,6.0
23.6,55.1,6.8,0.5,19,Loam,Flowering,3.8
30.2,45.4,20.7,1.3,20,Clay,Fruiting,9.2
25.2,28.7,10.4,2.7,4,Sandy,Flowering,3.3
29.7,69.0,5.1,0.5,8,Sandy,Vegetative,4.5
29.9,68.6,7.1,5.1,13,Loam,Fruiting,5.8
20.0,70.2,6.9,2.6,14,Loam,Vegetative,1.6
24.6,27.3,10.7,0.2,1,Clay,Flowering,0.8
38.1,60.4,4.4,0.0,19,Clay,Vegetative,8.0
19.9,67.2,4.8,1.0,9,Loam,Fruiting,6.0
13.2,36.4,32.5,1.2,10,Clay,Fruiting,5.2
15.0,55.2,2.5,2.7,18,Sandy,Fruiting,0.0
28.2,52.9,2.9,0.5,28,Loam,Vegetative,5.1
28.2,88.2,4.4,2.4,26,Clay,Flowering,3.1
27.2,89.6,4.9,2.2,29,Loam,Vegetative,2.1
36.5,25.0,2.0,1.9,12,Clay,Fruiting,7.9
9.3,98.0,2.4,8.0,4,Sandy,Vegetative,0.5
30.8,38.5,0.5,2.4,7,Sandy,Flowering,6.2
38.9,72.7,2.2,0.0,10,Loam,Fruiting,8.0
20.1,72.5,8.7,2.8,9,Clay,Vegetative,3.2
25.3,37.1,4.7,0.3,7,Loam,Vegetative,4.9
22.7,63.9,1.4,1.3,5,Clay,Vegetative,2.2
21.7,53.1,0.2,1.5,6,Sandy,Flowering,4.0
25.7,65.0,3.0,1.4,20,Loam,Fruiting,7.3
38.0,59.2,1.1,0.7,15,Loam,Flowering,9.2
40.9,76.5,0.1,4.3,2,Sandy,Fruiting,0.9
25.6,56.4,10.7,2.6,17,Loam,Vegetative,4.3
41.3,52.0,9.8,1.7,25,Loam,Vegetative,6.4
28.2,74.7,2.1,6.3,13,Loam,Fruiting,5.1
40.3,65.4,1.5,2.3,10,Sandy,Fruiting,11.2
27.3,68.2,8.4,2.2,8,Sandy,Vegetative,1.6
28.9,43.0,4.3,1.2,12,Clay,Fruiting,9.8
30.6,36.2,4.4,2.5,9,Loam,Fruiting,1.2
48.0,44.8,4.3,1.1,27,Clay,Fruiting,11.7
34.0,43.8,9.4,3.2,29,Loam,Flowering,4.1
23.0,69.2,26.9,1.4,10,Clay,Vegetative,6.1
34.8,72.6,5.8,1.8,27,Sandy,Vegetative,5.6
25.5,52.2,27.2,4.3,25,Loam,Flowering,1.7
24.6,80.8,1.5,0.1,3,Loam,Flowering,1.8
34.4,79.6,7.3,0.7,15,Sandy,Vegetative,4.3
28.2,59.4,0.7,2.9,20,Sandy,Vegetative,2.3
30.0,40.2,7.1,0.5,13,Loam,Vegetative,4.1
28.1,83.4,11.0,2.3,14,Clay,Flowering,1.5
30.4,53.9,1.6,4.0,15,Loam,Vegetative,2.1
31.0,57.3,2.3,0.6,20,Sandy,Vegetative,6.2
14.4,48.9,9.9,0.5,9,Clay,Vegetative,0.0
32.7,39.0,2.9,2.9,18,Sandy,Fruiting,4.6
21.1,28.6,0.2,1.1,8,Sandy,Flowering,4.7
17.9,66.4,9.9,0.1,26,Clay,Vegetative,3.5
27.6,40.9,9.4,1.1,3,Loam,Flowering,4.0
28.6,98.0,2.2,1.0,2,Clay,Flowering,2.0
23.1,35.5,21.3,3.0,2,Clay,Flowering,3.1
33.8,32.4,2.6,8.1,11,Loam,Flowering,2.8
18.6,64.2,1.0,1.6,18,Sandy,Flowering,8.6
